iter	Passed	Remaining
0	101	4989
1	120	2883
2	131	2063
3	143	1647
4	154	1393
5	166	1219
6	177	1092
7	189	994
8	200	914
9	212	849
10	223	793
11	235	744
12	246	701
13	257	663
14	269	628
15	280	596
16	292	567
17	303	540
18	315	514
19	326	490
20	338	466
21	349	445
22	361	424
23	372	403
24	384	384
25	395	365
26	407	346
27	418	328
28	430	311
29	441	294
30	452	277
31	464	261
32	475	245
33	487	229
34	498	213
35	510	198
36	521	183
37	533	168
38	544	153
39	555	138
40	567	124
41	578	110
42	590	96
43	601	82
44	613	68
45	624	54
46	636	40
47	647	26
48	658	13
49	670	0
