start_time,peak_time,end_time,peak_flux,goes_class,duration_sec,background,date,peak_datetime
760031543.328786,760031805.329523,760031816.329558,1.476897864449711e-06,C,274.0,9.58585474108986e-07,2024-02-01,1994-01-31T15:56:45.329523+00:00
760070633.439009,760070925.4398409,760070936.4398719,1.7262974552068044e-06,C,304.0,1.1507798944876413e-06,2024-02-01,1994-02-01T02:48:45.439841+00:00
760101408.526681,760101754.5276619,760101873.527998,2.3680740923737176e-06,C,466.0,1.059429564520542e-06,2024-02-01,1994-02-01T11:22:34.527662+00:00
760114643.563915,760114902.5646479,760115034.5650179,1.2079897715011612e-05,M,392.0,1.0564021977188531e-06,2024-02-02,1994-02-01T15:01:42.564648+00:00
760123496.5888319,760123854.5898509,760124162.590709,3.3276328395004384e-06,C,667.0,1.2312342505538254e-06,2024-02-02,1994-02-01T17:30:54.589851+00:00
760143305.644632,760143459.645075,760143648.6456009,6.153411504783435e-06,C,344.0,1.8737697473625303e-06,2024-02-02,1994-02-01T22:57:39.645075+00:00
760144906.64914,760145253.650113,760145253.650113,5.186247108213138e-06,C,348.0,3.390132860658923e-06,2024-02-02,1994-02-01T23:27:33.650113+00:00
760159822.691319,760160065.692011,760160239.692516,3.1428435249836184e-06,C,418.0,1.7397153442288982e-06,2024-02-02,1994-02-02T03:34:25.692011+00:00
760163360.701411,760163593.7020769,760163756.702541,3.273180254836916e-06,C,397.0,1.6167074363693246e-06,2024-02-02,1994-02-02T04:33:13.702077+00:00
760210647.835281,760211127.836633,760211127.836633,6.045939699106384e-06,C,481.0,2.947619805127033e-06,2024-02-03,1994-02-02T17:45:27.836633+00:00
760228787.886353,760229071.887136,760229112.8872529,5.527106168301543e-06,C,326.0,2.4416149244643748e-06,2024-02-03,1994-02-02T22:44:31.887136+00:00
760231651.894406,760231918.895152,760231918.895152,3.676355163406697e-06,C,268.0,2.7213775410928065e-06,2024-02-03,1994-02-02T23:31:58.895152+00:00
760236407.9078189,760236508.908093,760236682.908584,4.474380602914607e-06,C,276.0,2.3921111278468743e-06,2024-02-03,1994-02-03T00:48:28.908093+00:00
760242624.925386,760242863.9260609,760242863.9260609,1.7810318695410388e-06,C,240.0,1.6350924170183134e-06,2024-02-03,1994-02-03T02:34:23.926061+00:00
760249464.944847,760249682.945478,760249703.945531,2.062379962808336e-06,C,240.0,1.967207936104387e-06,2024-02-03,1994-02-03T04:28:02.945478+00:00
760257623.968192,760257802.96871,760257889.9689549,3.1346542073151795e-06,C,267.0,2.4922703687479952e-06,2024-02-03,1994-02-03T06:43:22.968710+00:00
760261438.979093,760261723.979908,760261800.980129,4.188697403151309e-06,C,363.0,2.657584445842076e-06,2024-02-03,1994-02-03T07:48:43.979908+00:00
760266818.994406,760267034.99501,760267086.9951559,6.015162398398388e-06,C,269.0,4.029435785923852e-06,2024-02-03,1994-02-03T09:17:14.995010+00:00
760303877.0987229,760304059.099231,760304133.099453,5.052428150520427e-06,C,257.0,2.9013585844950285e-06,2024-02-04,1994-02-03T19:34:19.099231+00:00
760319213.1418769,760319563.142859,760319626.143036,1.4271063264459372e-05,M,414.0,3.1869894883129746e-06,2024-02-04,1994-02-03T23:52:43.142859+00:00
760326239.161695,760326396.1621339,760326518.1624819,8.48904801387107e-06,C,280.0,5.194576715439325e-06,2024-02-04,1994-02-04T01:46:36.162134+00:00
760329024.169569,760329249.170211,760329263.170246,2.6755885755846975e-06,C,240.0,2.328331902390346e-06,2024-02-04,1994-02-04T02:34:09.170211+00:00
760334085.183939,760334231.184354,760334324.1846199,6.135024705145042e-06,C,240.0,4.560172783385497e-06,2024-02-04,1994-02-04T03:57:11.184354+00:00
760336621.191178,760336710.191438,760336863.191875,1.5932364476611838e-05,M,243.0,1.2825134945160244e-05,2024-02-04,1994-02-04T04:38:30.191438+00:00
760338521.196612,760338766.19732,760339033.198084,1.3820334970660042e-05,M,513.0,4.80420885651256e-06,2024-02-04,1994-02-04T05:12:46.197320+00:00
760342929.209234,760343355.2104479,760343390.210547,1.1264667591603938e-05,M,462.0,3.3642604648775887e-06,2024-02-04,1994-02-04T06:29:15.210448+00:00
760352109.235395,760352240.23576,760352398.236216,1.3041778402111959e-05,M,290.0,4.132309641136089e-06,2024-02-04,1994-02-04T08:57:20.235760+00:00
760357470.250574,760357735.251313,760357862.2516739,2.1680392819689587e-05,M,393.0,5.490051535161911e-06,2024-02-04,1994-02-04T10:28:55.251313+00:00
760375545.301386,760375774.3020339,760375938.302496,9.105165190703701e-06,C,394.0,5.036426045990083e-06,2024-02-05,1994-02-04T15:29:34.302034+00:00
760378811.310571,760379316.312002,760379600.312793,2.1779438611702062e-05,M,790.0,3.878895313391695e-06,2024-02-05,1994-02-04T16:28:36.312002+00:00
760386016.3308469,760386127.331154,760386301.331645,1.5050239198899362e-05,M,286.0,4.838285803998588e-06,2024-02-05,1994-02-04T18:22:07.331154+00:00
760402576.377434,760402824.37813,760402924.378412,6.203039902175078e-06,C,349.0,3.405005372769665e-06,2024-02-05,1994-02-04T23:00:24.378130+00:00
760410727.400389,760411028.4012439,760411028.4012439,6.139986453490565e-06,C,302.0,4.215894023218425e-06,2024-02-05,1994-02-05T01:17:08.401244+00:00
760425663.4428209,760425952.443645,760425953.443643,3.8003693134669447e-06,C,291.0,2.6377549602329964e-06,2024-02-05,1994-02-05T05:25:52.443645+00:00
760446380.5016949,760446833.502968,760446835.5029709,6.002148438710719e-06,C,456.0,3.2150690003618365e-06,2024-02-05,1994-02-05T11:13:53.502968+00:00
760458222.534968,760458521.5358119,760458577.5359689,2.238471461168956e-05,M,356.0,1.2946306014782749e-05,2024-02-06,1994-02-05T14:28:41.535812+00:00
760495852.640803,760496116.641546,760496117.641551,7.90207923273556e-06,C,266.0,4.585720034810947e-06,2024-02-06,1994-02-06T00:55:16.641546+00:00
760515864.6976639,760516196.6986129,760516199.6986179,5.276742285786895e-06,C,336.0,3.184276920364937e-06,2024-02-06,1994-02-06T06:29:56.698613+00:00
760516996.7009009,760517317.701811,760517328.701855,1.3392645087151323e-05,M,333.0,7.446355539286742e-06,2024-02-06,1994-02-06T06:48:37.701811+00:00
760543072.7745509,760543315.7752349,760543405.7754879,4.574787453748286e-06,C,334.0,3.1060155833984027e-06,2024-02-07,1994-02-06T14:01:55.775235+00:00
760544726.779199,760545072.78017,760545274.780738,8.369578608835582e-06,C,549.0,4.643625743483426e-06,2024-02-07,1994-02-06T14:31:12.780170+00:00
760547432.786796,760548230.789042,760548230.789042,4.464543962967582e-05,M,799.0,5.848077762493631e-06,2024-02-07,1994-02-06T15:23:50.789042+00:00
760556665.8127439,760556892.813381,760556904.813417,5.885282007511705e-06,C,240.0,5.743806013924768e-06,2024-02-07,1994-02-06T17:48:12.813381+00:00
760599865.93467,760600799.9373399,760600800.9373499,1.1653892215690576e-05,M,935.0026799440384,1.919509486469906e-06,2024-02-07,1994-02-07T05:59:59.937340+00:00
760607065.9552139,760607423.956231,760607492.956432,2.059063490378321e-06,C,428.0,1.7838386838775477e-06,2024-02-07,1994-02-07T07:50:23.956231+00:00
760613065.972232,760613304.9729129,760613304.9729129,1.9435526610322995e-06,C,240.0,1.626488028705353e-06,2024-02-07,1994-02-07T09:28:24.972913+00:00
760641266.0515139,760641446.0520159,760641505.0521829,2.490552788003697e-06,C,240.0,1.938151626745821e-06,2024-02-08,1994-02-07T17:17:26.052016+00:00
760653822.086793,760654096.0875679,760654377.088356,4.436554718267871e-06,C,556.0,1.8520166804592009e-06,2024-02-08,1994-02-07T20:48:16.087568+00:00
760668456.127934,760668744.1287429,760668745.1287479,1.0138151083083358e-05,M,290.0,6.264870080485707e-06,2024-02-08,1994-02-08T00:52:24.128743+00:00
760668866.129087,760669627.13124,760669627.13124,3.193784868926741e-05,M,761.0021530389786,1.0686034329410177e-05,2024-02-08,1994-02-08T01:07:07.131240+00:00
760680898.1631199,760681276.1642029,760681584.165076,6.182015567901544e-06,C,687.0,2.5809017643041443e-06,2024-02-08,1994-02-08T04:21:16.164203+00:00
760683776.1713259,760684023.172033,760684109.172287,7.753397767373826e-06,C,334.0,2.382633056186023e-06,2024-02-08,1994-02-08T05:07:03.172033+00:00
760691066.192135,760691305.192822,760691305.192822,6.625962669204455e-06,C,240.0,5.441453595267376e-06,2024-02-08,1994-02-08T07:08:25.192822+00:00
760699466.2159779,760699654.216512,760699705.216656,1.9139845335303107e-06,C,240.0,1.8020921288552927e-06,2024-02-08,1994-02-08T09:27:34.216512+00:00
760706666.236285,760707758.239355,760707758.239355,3.0086715923971497e-05,M,1093.0,3.0184373827069066e-06,2024-02-08,1994-02-08T11:42:38.239355+00:00
760738417.325455,760738593.325957,760738793.326504,5.704702289222041e-06,C,377.0,3.924022621504264e-06,2024-02-09,1994-02-08T20:16:33.325957+00:00
760745859.346368,760746110.3470659,760746429.347966,6.442407993745292e-06,C,571.0,1.7093392443712219e-06,2024-02-09,1994-02-08T22:21:50.347066+00:00
760755385.373143,760756358.3758839,760756359.375889,0.00032653004745952785,X,975.0,2.059162397927139e-06,2024-02-09,1994-02-09T01:12:38.375884+00:00
760773408.424256,760773657.4249619,760773877.425592,1.2632133802981116e-05,M,470.0,6.069822120480239e-06,2024-02-09,1994-02-09T06:00:57.424962+00:00
760795334.4863349,760795684.4873079,760795730.487448,3.951031885662815e-06,C,397.0,2.206982117058942e-06,2024-02-10,1994-02-09T12:08:04.487308+00:00
760797863.4934319,760798205.494393,760798690.49575,1.5820396583876573e-05,M,828.0,2.8025490337313386e-06,2024-02-10,1994-02-09T12:50:05.494393+00:00
760807395.5201659,760808568.523459,760808568.523459,2.6973248168360442e-05,M,1174.0,3.9118604036048055e-06,2024-02-10,1994-02-09T15:42:48.523459+00:00
760829906.583396,760830081.58388,760830145.584062,8.156842341122683e-06,C,240.0,7.403812560369261e-06,2024-02-10,1994-02-09T21:41:21.583880+00:00
760836986.6032859,760837224.603949,760837225.6039519,4.1209177652490325e-06,C,240.0,3.989100150647573e-06,2024-02-10,1994-02-09T23:40:24.603949+00:00
760857866.662341,760858080.662933,760858224.663348,2.578764451754978e-06,C,359.0,2.3710838377155596e-06,2024-02-10,1994-02-10T05:28:00.662933+00:00
760860386.669524,760860698.6704099,760860698.6704099,2.573554638729547e-06,C,313.0,2.209600779679022e-06,2024-02-10,1994-02-10T06:11:38.670410+00:00
760860866.6708909,760861270.6720389,760861464.672594,6.2923172663431615e-06,C,599.0,2.5780691430554725e-06,2024-02-10,1994-02-10T06:21:10.672039+00:00
760864346.680807,760864584.681481,760864585.681482,2.1247305994620547e-06,C,240.0,1.8475752767699305e-06,2024-02-10,1994-02-10T07:16:24.681481+00:00
760866866.6879729,760867212.6889479,760867212.6889479,2.0952136310370406e-06,C,347.0,1.8019683238890138e-06,2024-02-10,1994-02-10T08:00:12.688948+00:00
760869866.696476,760870136.697243,760870344.697827,2.7518640308699105e-06,C,479.0,2.020707142946776e-06,2024-02-10,1994-02-10T08:48:56.697243+00:00
